date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:43	13045/13045	---M--	200	added ('OK')	image/png	etag:%22cd50f8a74b9eb9c218b504baa4e5502a%22	https://cdn.dribbble.com/users/594518/avatars/small/a68b23ec430c558b3d07bc31bfbb72a7.png?1525714096	D:/nidhi/cdn.dribbble.com/users/594518/avatars/small/a68b23ec430c558b3d07bc31bfbb72a71d93.png	(from https://dribbble.com/year/2018)
12:23:43	3034/3034	---M--	200	added ('OK')	image/png	etag:%22ce5c293e5ef03573e4b004cd0555178b%22	https://cdn.dribbble.com/users/4859/avatars/small/f87f1cba59aae477687d2a53002b36e5.png?1458670017	D:/nidhi/cdn.dribbble.com/users/4859/avatars/small/f87f1cba59aae477687d2a53002b36e5075a.png	(from https://dribbble.com/year/2018)
12:23:43	503071/503071	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jan%202019%2019:35:08%20GMT	https://cdn.dribbble.com/assets/year-in-review/yir-2018-share-card-ce006b4c669265b02a41367df85ca946fbba67e3ce52f7cc8ad8a21c71310a68.jpg	D:/nidhi/cdn.dribbble.com/assets/year-in-review/yir-2018-share-card-ce006b4c669265b02a41367df85ca946fbba67e3ce52f7cc8ad8a21c71310a68.jpg	(from https://dribbble.com/year/2018)
12:23:44	12469/12469	---M--	200	added ('OK')	image/jpeg	etag:%220711cd32278b14dea85decb57774401c%22	https://cdn.dribbble.com/users/937638/avatars/small/854e5c5628705e02fd14843fa379673d.jpg?1545235073	D:/nidhi/cdn.dribbble.com/users/937638/avatars/small/854e5c5628705e02fd14843fa379673dd565.jpg	(from https://dribbble.com/year/2018)
12:23:44	3869/3869	---M--	200	added ('OK')	image/jpeg	etag:%22682f515fe7a4784302b6cea0aa015c45%22	https://cdn.dribbble.com/users/230073/avatars/small/9075f5e29a13de43a8e7a1af8ce297e9.jpg?1546624672	D:/nidhi/cdn.dribbble.com/users/230073/avatars/small/9075f5e29a13de43a8e7a1af8ce297e90a3c.jpg	(from https://dribbble.com/year/2018)
12:23:44	8869/8869	---M--	200	added ('OK')	image/png	etag:%228cde0b3e66b47913c0590234bc300fde%22	https://cdn.dribbble.com/users/32512/avatars/small/88dd19a39ce813da9a287e3f5b98a728.png?1525294904	D:/nidhi/cdn.dribbble.com/users/32512/avatars/small/88dd19a39ce813da9a287e3f5b98a728e93b.png	(from https://dribbble.com/year/2018)
12:23:48	20707/20707	---M--	200	added ('OK')	image/jpeg	etag:%22f79de4567d1de9867ac4415fd0bfb3f7%22	https://cdn.dribbble.com/users/268580/avatars/small/917016e23b331ed8896c5f0ca72b82b8.jpg?1456981315	D:/nidhi/cdn.dribbble.com/users/268580/avatars/small/917016e23b331ed8896c5f0ca72b82b803ee.jpg	(from https://dribbble.com/year/2018)
12:23:50	184119/184119	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Sep%202018%2018:11:52%20GMT	https://cdn.dribbble.com/assets/company/apps/android-ui-51124d03f5e87826d536d76bc7a72706311a04843bf7eb4955d14799b07f9ba8.jpg	D:/nidhi/cdn.dribbble.com/assets/company/apps/android-ui-51124d03f5e87826d536d76bc7a72706311a04843bf7eb4955d14799b07f9ba8.jpg	(from https://dribbble.com/year/2018)
12:23:52	88817/88817	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jan%202019%2018:17:27%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-2-f2a82b64dd7cb0ba2e6d7bb0158302ecf50cc1447aa3885bba405ba97f6a7d4d.jpg	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-2-f2a82b64dd7cb0ba2e6d7bb0158302ecf50cc1447aa3885bba405ba97f6a7d4d.jpg	(from https://dribbble.com/year/2018)
12:25:38	4903279/4903279	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Jan%202019%2018:17:30%20GMT	https://cdn.dribbble.com/assets/year-in-review/android/android-1-6ed304708e3659ff8e41b3d7d1b76854cd81b54d2d453b361e1ca1efb303104d.gif	D:/nidhi/cdn.dribbble.com/assets/year-in-review/android/android-1-6ed304708e3659ff8e41b3d7d1b76854cd81b54d2d453b361e1ca1efb303104d.gif	(from https://dribbble.com/year/2018)
